time,row,col,demand
646, 1, 6, 49
526, 1, 3, 76
500, 5, 6, 340
452, 7, 1, 0
699, 1, 5, 294
528, 6, 4, 40
302, 5, 3, 15
193, 3, 7, 25
639, 3, 1, 0
569, 0, 5, 94
505, 4, 7, 61
432, 1, 3, 184
241, 0, 2, 14
113, 5, 5, 40
489, 2, 4, 0
258, 4, 1, 0
384, 0, 2, 41
446, 7, 6, 0
394, 5, 6, 0
418, 7, 3, 0
461, 1, 0, 0
268, 2, 4, 29
15, 3, 1, 3
263, 5, 0, 0
132, 1, 4, 126
103, 6, 4, 0
719, 1, 7, 212
58, 4, 0, 0
547, 0, 0, 49
124, 3, 7, 0
344, 4, 6, 6
553, 2, 2, 52
301, 5, 6, 15
308, 1, 2, 55
368, 4, 0, 0
284, 5, 4, 5
210, 3, 7, 45
610, 2, 1, 0
334, 4, 3, 67
199, 7, 6, 0
144, 1, 7, 51
706, 5, 6, 43
644, 3, 3, 78
583, 2, 2, 0
147, 5, 0, 0
569, 1, 1, 16
183, 3, 2, 4
121, 5, 3, 48
87, 3, 3, 57
643, 1, 4, 67
330, 6, 1, 0
664, 7, 5, 0
13, 4, 4, 82
58, 4, 3, 39
360, 7, 7, 68
730, 3, 2, 95
137, 5, 2, 4
259, 4, 2, 0
256, 7, 7, 0
121, 5, 1, 4
18, 2, 2, 27
208, 1, 4, 68
4, 0, 6, 0
664, 0, 5, 141
178, 3, 6, 31
227, 2, 1, 0
63, 1, 1, 15
144, 2, 5, 25
513, 6, 2, 0
67, 6, 6, 244
135, 1, 4, 21
678, 2, 5, 12
26, 5, 7, 0
147, 3, 0, 0
281, 0, 4, 32
703, 1, 4, 225
256, 4, 5, 39
665, 5, 5, 71
138, 3, 4, 74
84, 1, 4, 117
565, 1, 7, 194
437, 6, 0, 0
369, 3, 6, 0
136, 4, 0, 4
424, 4, 4, 31
636, 6, 5, 37
671, 7, 7, 20
195, 1, 5, 25
388, 4, 1, 23
345, 6, 3, 0
569, 5, 4, 10
141, 3, 5, 233
83, 3, 4, 146
651, 7, 5, 31
529, 5, 7, 55
341, 7, 7, 0
278, 1, 2, 18
400, 0, 1, 11
642, 0, 1, 11
91, 3, 3, 38
724, 7, 5, 23
167, 7, 7, 23
699, 0, 1, 0
3, 3, 6, 3
295, 1, 4, 0
599, 4, 6, 210
496, 7, 7, 14
45, 2, 0, 0
606, 7, 0, 0
674, 0, 4, 128
366, 1, 2, 11
715, 3, 0, 0
497, 3, 4, 137
248, 6, 0, 0
662, 1, 3, 82
285, 0, 1, 0
99, 4, 1, 0
579, 7, 0, 0
725, 0, 0, 95
112, 6, 4, 13
143, 7, 4, 7
330, 7, 2, 0
284, 6, 2, 0
492, 6, 0, 0
414, 3, 7, 0
104, 4, 6, 0
265, 2, 0, 0
582, 3, 5, 71
179, 0, 3, 4
470, 4, 6, 34
714, 5, 6, 0
434, 3, 0, 0
90, 1, 4, 35
375, 6, 3, 7
185, 2, 4, 34
167, 1, 2, 30
559, 5, 0, 0
719, 7, 5, 35
462, 4, 3, 159
354, 1, 3, 71
19, 5, 6, 374
627, 1, 0, 11
377, 6, 7, 17
574, 7, 0, 0
120, 3, 5, 46
380, 7, 3, 7
207, 1, 2, 93
397, 2, 7, 83
666, 4, 3, 184
187, 4, 2, 0
394, 1, 6, 0
227, 3, 4, 5
342, 6, 2, 0
128, 5, 7, 13
86, 0, 1, 22
376, 5, 4, 50
656, 5, 6, 0
257, 3, 0, 0
312, 5, 5, 67
484, 7, 2, 0
306, 3, 4, 74
219, 3, 4, 29
364, 1, 0, 0
195, 6, 0, 0
203, 1, 0, 0
223, 7, 1, 0
323, 0, 7, 0
630, 0, 1, 0
451, 6, 7, 8
67, 2, 4, 147
474, 2, 2, 13
696, 4, 0, 0
531, 6, 1, 9
398, 2, 2, 78
58, 4, 4, 154
634, 0, 1, 0
214, 0, 1, 12
171, 7, 0, 0
306, 2, 1, 0
223, 0, 7, 0
464, 0, 6, 8
705, 7, 1, 0
710, 6, 6, 0
362, 0, 7, 148
127, 3, 4, 0
270, 6, 6, 5
405, 7, 1, 0
482, 4, 0, 0
625, 7, 7, 19
218, 6, 5, 5
662, 0, 4, 102
118, 0, 1, 10
38, 2, 7, 154
209, 2, 0, 0
423, 3, 1, 0
407, 2, 4, 108
113, 0, 7, 13
585, 0, 4, 0
491, 2, 6, 0
490, 0, 1, 0
418, 7, 6, 0
249, 5, 1, 0
289, 4, 2, 0
352, 7, 3, 0
718, 7, 3, 0
294, 1, 3, 30
42, 0, 3, 120
641, 4, 3, 30
571, 4, 5, 242
278, 4, 6, 14
325, 6, 6, 87
175, 3, 4, 12
43, 2, 2, 61
33, 7, 1, 0
262, 5, 2, 27
486, 7, 7, 0
456, 1, 7, 77
706, 1, 6, 69
212, 0, 3, 48
62, 5, 4, 24
379, 5, 3, 79
535, 3, 0, 0
393, 3, 0, 0
164, 2, 4, 172
589, 5, 4, 54
526, 1, 2, 129
346, 0, 0, 0
172, 3, 5, 34
322, 1, 0, 0
148, 4, 1, 0
500, 5, 2, 0
401, 3, 5, 138
534, 0, 4, 9
294, 0, 5, 19
122, 6, 0, 0
165, 2, 7, 227
604, 1, 4, 110
97, 3, 2, 10
291, 2, 2, 0
611, 3, 1, 0
479, 1, 3, 130
443, 1, 6, 8
476, 7, 4, 13
615, 4, 7, 75
462, 6, 6, 8
452, 4, 1, 8
384, 5, 0, 0
443, 0, 7, 0
686, 0, 4, 0
91, 0, 3, 154
64, 0, 4, 207
349, 5, 1, 0
344, 4, 1, 0
318, 6, 1, 6
328, 4, 2, 0
279, 0, 4, 14
124, 6, 2, 0
106, 5, 3, 10
499, 0, 7, 173
504, 6, 4, 23
389, 1, 7, 48
314, 7, 2, 0
727, 3, 7, 626
606, 4, 5, 46
473, 0, 4, 77
26, 2, 7, 20
393, 0, 4, 0
390, 4, 4, 66
154, 3, 1, 0
370, 5, 7, 0
96, 5, 2, 0
133, 5, 0, 0
157, 1, 3, 48
375, 2, 4, 199
552, 6, 3, 0
632, 4, 6, 11
124, 7, 5, 0
411, 3, 1, 0
373, 4, 5, 68
394, 4, 2, 0
221, 5, 7, 5
392, 6, 3, 0
623, 0, 0, 0
681, 5, 3, 0
377, 2, 6, 170
3, 2, 6, 3
686, 7, 5, 0
374, 0, 5, 131
411, 7, 1, 0
628, 1, 5, 97
680, 0, 5, 0
154, 0, 1, 4
426, 1, 7, 82
293, 5, 0, 0
427, 1, 7, 149
628, 2, 3, 86
100, 4, 3, 6
623, 5, 3, 18
348, 1, 2, 37
51, 4, 7, 0
228, 1, 3, 13
719, 6, 0, 0
231, 0, 7, 16
31, 6, 1, 0
219, 2, 2, 13
375, 1, 4, 50
385, 1, 7, 96
225, 4, 2, 0
588, 5, 0, 0
696, 5, 1, 0
684, 2, 6, 12
190, 7, 2, 0
549, 3, 4, 65
229, 7, 0, 0
585, 1, 2, 17
614, 2, 0, 0
339, 7, 0, 0
256, 0, 3, 62
201, 0, 2, 0
636, 1, 6, 0
95, 2, 3, 117
583, 3, 0, 0
132, 7, 4, 0
533, 3, 1, 9
138, 3, 7, 76
84, 2, 4, 114
270, 5, 5, 0
481, 2, 7, 45
258, 1, 0, 0
432, 1, 2, 131
581, 6, 4, 0
207, 7, 3, 8
421, 6, 6, 12
533, 5, 4, 9
519, 6, 7, 9
569, 2, 6, 268
654, 3, 5, 31
154, 0, 3, 44
48, 0, 6, 21
622, 7, 3, 11
455, 5, 2, 0
493, 4, 1, 8
284, 6, 6, 32
404, 0, 5, 156
421, 4, 0, 0
228, 3, 4, 5
424, 7, 5, 12
717, 5, 7, 43
359, 4, 4, 21
536, 1, 7, 9
236, 6, 0, 0
628, 1, 6, 37
405, 7, 6, 11
709, 3, 5, 69
694, 4, 5, 95
364, 2, 7, 50
330, 7, 4, 0
48, 4, 7, 15
177, 6, 1, 0
580, 4, 5, 71
102, 3, 2, 0
458, 7, 4, 0
430, 3, 6, 200
728, 0, 0, 59
487, 4, 5, 28
618, 2, 3, 57
63, 5, 1, 0
369, 5, 4, 0
612, 6, 4, 0
286, 1, 5, 41
376, 6, 6, 7
403, 2, 3, 41
515, 2, 5, 0
329, 4, 2, 10
506, 0, 1, 9
391, 6, 1, 0
71, 4, 7, 24
12, 2, 3, 194
4, 7, 6, 30
456, 0, 3, 69
615, 6, 2, 11
81, 0, 2, 28
463, 2, 0, 0
126, 3, 6, 0
61, 6, 0, 0
652, 2, 2, 12
576, 6, 2, 0
284, 0, 3, 18
359, 4, 0, 0
691, 0, 7, 0
649, 3, 3, 172
412, 3, 0, 0
643, 0, 5, 37
414, 6, 0, 0
543, 6, 3, 15
101, 2, 2, 4
4, 5, 3, 0
251, 1, 3, 27
663, 7, 6, 63
497, 1, 6, 109
665, 6, 1, 0
644, 1, 0, 0
254, 7, 3, 17
701, 3, 3, 190
526, 2, 5, 670
10, 1, 0, 0
71, 2, 2, 12
441, 3, 2, 0
351, 6, 4, 6
589, 4, 0, 0
575, 3, 1, 16
684, 5, 3, 0
630, 1, 0, 0
642, 2, 5, 116
345, 2, 6, 6
538, 7, 3, 0
194, 7, 0, 0
313, 1, 5, 16
289, 3, 7, 15
500, 4, 3, 267
656, 2, 6, 12
493, 1, 2, 145
29, 2, 3, 0
563, 4, 5, 10
115, 5, 5, 63
699, 4, 3, 156
322, 3, 5, 6
502, 1, 5, 334
299, 6, 2, 0
80, 6, 0, 0
409, 6, 2, 7
237, 6, 1, 0
603, 6, 3, 11
209, 1, 0, 0
409, 1, 2, 101
651, 1, 3, 192
72, 4, 2, 0
547, 7, 2, 0
619, 3, 6, 103
678, 5, 6, 12
472, 4, 7, 69
623, 6, 7, 18
672, 2, 6, 1058
604, 1, 1, 0
104, 3, 4, 4
209, 3, 3, 93
355, 5, 7, 17
176, 1, 4, 0
403, 0, 4, 37
697, 3, 6, 372
246, 2, 5, 0
338, 5, 3, 33
274, 3, 7, 9
252, 0, 7, 31
27, 0, 3, 0
158, 1, 0, 0
195, 2, 1, 0
106, 7, 1, 0
509, 1, 2, 23
546, 3, 4, 104
484, 4, 3, 72
73, 2, 1, 0
461, 6, 5, 13
349, 4, 4, 48
627, 1, 1, 37
154, 0, 4, 146
292, 1, 0, 0
438, 7, 3, 8
268, 5, 3, 0
492, 7, 0, 0
590, 1, 1, 0
444, 5, 1, 0
644, 2, 5, 78
536, 5, 2, 0
587, 2, 4, 10
238, 4, 4, 80
573, 3, 4, 184
253, 7, 3, 0
95, 7, 2, 0
703, 4, 4, 56
66, 5, 7, 267
181, 1, 0, 0
551, 4, 3, 111
611, 5, 5, 0
271, 2, 0, 0
404, 6, 3, 48
373, 4, 3, 7
390, 1, 4, 7
511, 5, 2, 0
365, 5, 1, 0
402, 1, 5, 96
273, 5, 3, 0
19, 5, 3, 0
179, 5, 0, 0
243, 3, 6, 44
376, 3, 4, 124
18, 1, 6, 865
9, 4, 6, 14
599, 0, 6, 220
31, 3, 3, 9
141, 3, 2, 13
540, 6, 2, 15
270, 1, 1, 0
450, 7, 4, 13
686, 5, 1, 0
150, 4, 3, 4
325, 0, 4, 42
288, 7, 6, 25
726, 4, 1, 141
319, 2, 0, 0
93, 7, 4, 12
200, 5, 1, 0
232, 0, 3, 16
324, 7, 2, 0
683, 6, 0, 0
721, 5, 3, 23
51, 0, 3, 9
484, 6, 5, 14
690, 0, 0, 0
192, 1, 4, 8
647, 2, 3, 49
92, 2, 3, 53
485, 0, 4, 14
484, 0, 2, 14
173, 7, 5, 4
242, 2, 3, 58
157, 4, 5, 160
498, 5, 7, 109
359, 5, 0, 6
662, 5, 6, 20
524, 1, 3, 137
228, 2, 0, 0
446, 7, 7, 0
354, 3, 0, 6
163, 1, 2, 51
286, 3, 2, 18
13, 0, 6, 85
455, 0, 5, 86
273, 6, 3, 0
625, 0, 3, 146
424, 1, 7, 51
641, 4, 6, 60
69, 7, 1, 0
534, 4, 5, 25
372, 3, 0, 0
109, 4, 2, 0
201, 7, 7, 0
650, 3, 0, 0
173, 6, 0, 0
710, 6, 3, 0
550, 3, 2, 15
124, 6, 1, 0
601, 2, 2, 110
700, 3, 7, 99
242, 5, 0, 0
703, 3, 4, 212
300, 2, 0, 0
525, 1, 3, 114
0, 7, 3, 0
418, 5, 4, 0
610, 1, 6, 18
567, 0, 1, 26
694, 3, 5, 255
108, 6, 2, 0
226, 7, 1, 0
183, 6, 5, 4
532, 1, 1, 15
277, 1, 3, 41
341, 3, 1, 6
657, 0, 4, 0
586, 3, 3, 0
265, 0, 1, 5
93, 2, 1, 4
163, 0, 4, 124
671, 5, 1, 0
81, 3, 7, 117
73, 4, 3, 47
594, 0, 4, 71
514, 0, 0, 0
617, 7, 4, 0
161, 1, 0, 0
731, 1, 2, 177
698, 4, 6, 246
711, 1, 3, 0
406, 3, 6, 715
140, 3, 2, 11
326, 3, 2, 16
273, 7, 5, 0
403, 7, 2, 0
442, 2, 5, 0
366, 6, 3, 7
79, 0, 1, 0
229, 5, 6, 0
713, 0, 7, 22
551, 2, 3, 89
372, 5, 6, 0
663, 6, 7, 20
350, 7, 2, 0
225, 4, 6, 5
67, 2, 7, 244
588, 1, 2, 44
653, 4, 5, 102
444, 1, 2, 13
307, 7, 7, 0
192, 4, 4, 25
352, 0, 3, 102
570, 1, 6, 177
713, 1, 5, 22
342, 5, 4, 21
298, 5, 4, 6
701, 3, 1, 22
295, 2, 7, 15
479, 0, 7, 255
548, 6, 7, 25
285, 0, 4, 47
563, 1, 6, 42
397, 6, 0, 0
557, 5, 1, 10
669, 7, 1, 0
272, 7, 7, 0
91, 6, 0, 0
509, 0, 4, 29
281, 2, 5, 65
654, 0, 3, 31
406, 6, 4, 0
456, 7, 0, 0
2, 4, 4, 0
245, 0, 0, 0
478, 3, 0, 0
505, 7, 5, 9
449, 0, 7, 40
354, 3, 7, 60
673, 1, 1, 0
455, 7, 0, 0
521, 1, 6, 161
182, 7, 3, 7
617, 5, 0, 18
364, 2, 3, 68
557, 6, 0, 0
517, 3, 0, 0
230, 1, 3, 29
41, 7, 2, 0
334, 3, 0, 51
390, 5, 7, 11
415, 4, 2, 7
661, 0, 4, 20
9, 0, 1, 8
393, 4, 0, 0
541, 4, 1, 15
176, 1, 6, 0
307, 4, 2, 0
396, 5, 3, 18
105, 7, 3, 0
115, 0, 5, 29
165, 2, 2, 7
229, 7, 3, 0
496, 5, 2, 0
56, 6, 7, 19
615, 6, 5, 36
481, 0, 6, 226
428, 6, 4, 7
313, 3, 0, 0
60, 0, 6, 162
579, 0, 0, 0
411, 3, 6, 180
291, 5, 5, 0
322, 1, 3, 0
15, 1, 4, 14
602, 7, 0, 0
450, 7, 1, 0
670, 6, 5, 20
646, 3, 5, 134
711, 5, 0, 0
294, 6, 6, 9
334, 3, 2, 10
707, 0, 6, 56
217, 7, 1, 0
163, 4, 7, 117
554, 7, 7, 10
167, 1, 6, 414
210, 7, 4, 28
414, 2, 3, 0
428, 0, 6, 188
271, 4, 1, 0
435, 7, 2, 20
184, 2, 4, 43
97, 3, 5, 63
631, 2, 6, 11
74, 7, 3, 4
720, 3, 5, 354
351, 1, 3, 216
644, 0, 2, 97
229, 5, 2, 0
168, 4, 5, 38
107, 7, 2, 0
404, 2, 4, 96
584, 5, 3, 0
254, 6, 4, 9
716, 0, 4, 112
14, 2, 7, 131
60, 5, 5, 96
145, 3, 4, 14
250, 7, 1, 0
427, 5, 7, 43
264, 2, 1, 0
193, 2, 3, 20
467, 7, 5, 0
249, 6, 7, 0
40, 0, 4, 147
260, 0, 7, 36
543, 2, 2, 144
495, 4, 7, 81
292, 6, 6, 19
62, 5, 7, 24
564, 3, 7, 10
59, 6, 6, 0
84, 1, 3, 322
610, 2, 3, 18
588, 7, 7, 10
704, 4, 1, 0
633, 3, 7, 0
196, 5, 2, 0
603, 7, 5, 11
162, 0, 7, 249
199, 1, 2, 0
159, 0, 0, 11
455, 5, 3, 53
344, 0, 6, 0
649, 6, 1, 0
662, 3, 7, 114
61, 6, 6, 6
581, 7, 3, 0
122, 3, 4, 11
433, 1, 4, 45
80, 2, 2, 6
449, 5, 7, 33
708, 1, 6, 43
79, 6, 2, 0
679, 0, 3, 41
306, 4, 5, 40
220, 0, 4, 21
287, 6, 7, 9
431, 3, 4, 118
127, 6, 2, 0
610, 5, 6, 0
39, 4, 2, 0
127, 5, 6, 0
730, 3, 1, 45
312, 2, 4, 139
491, 7, 5, 0
136, 3, 6, 1189
652, 2, 5, 133
21, 5, 5, 36
110, 0, 6, 13
134, 0, 0, 21
243, 3, 3, 22
524, 5, 4, 29
120, 0, 5, 17
190, 6, 7, 24
89, 5, 2, 6
187, 6, 2, 0
125, 1, 6, 0
266, 6, 3, 0
54, 1, 0, 0
208, 6, 2, 0
718, 6, 5, 13
649, 3, 1, 0
509, 6, 0, 0
279, 4, 5, 41
466, 4, 5, 0
192, 7, 4, 20
562, 5, 0, 0
426, 7, 5, 19
373, 2, 5, 273
624, 0, 2, 108
371, 7, 0, 0
730, 4, 4, 141
540, 0, 6, 15
723, 3, 7, 354
644, 1, 3, 127
570, 5, 2, 10
315, 0, 1, 26
43, 3, 3, 40
314, 5, 1, 10
697, 5, 1, 69
371, 2, 1, 0
654, 5, 5, 20
518, 6, 1, 0
719, 2, 3, 303
385, 7, 4, 23
249, 3, 0, 0
188, 6, 2, 4
727, 3, 2, 132
305, 1, 2, 30
378, 0, 0, 7
247, 3, 5, 0
210, 5, 0, 0
573, 2, 5, 200
640, 3, 6, 49
279, 1, 2, 14
367, 4, 4, 7
538, 0, 2, 0
552, 7, 3, 0
24, 2, 2, 14
433, 5, 2, 13
465, 7, 2, 0
578, 5, 3, 0
510, 6, 2, 0
423, 4, 3, 19
728, 6, 7, 449
242, 4, 2, 9
380, 4, 4, 74
203, 1, 4, 5
145, 4, 2, 0
313, 1, 1, 0
483, 0, 5, 59
303, 5, 4, 9
461, 6, 1, 8
640, 5, 1, 0
11, 3, 0, 0
128, 5, 4, 7
517, 0, 4, 67
213, 3, 5, 371
722, 6, 0, 0
697, 4, 7, 99
96, 2, 2, 17
358, 1, 6, 827
705, 4, 1, 13
629, 5, 3, 30
308, 2, 3, 79
427, 6, 6, 7
401, 5, 0, 0
207, 7, 0, 0
80, 5, 1, 4
235, 2, 2, 13
313, 1, 3, 42
172, 2, 0, 0
347, 1, 5, 0
256, 6, 0, 0
674, 2, 7, 173
330, 4, 4, 26
593, 0, 3, 159
87, 3, 1, 12
158, 1, 5, 471
92, 1, 7, 132
38, 7, 3, 18
133, 6, 2, 0
464, 4, 6, 8
460, 3, 6, 103
687, 5, 4, 0
568, 0, 6, 210
477, 7, 5, 0
617, 2, 0, 11
341, 4, 2, 0
467, 3, 0, 0
71, 1, 5, 87
495, 7, 3, 0
572, 2, 0, 0
701, 4, 5, 540
380, 3, 6, 159
432, 3, 7, 124
561, 7, 1, 0
77, 6, 1, 0
254, 6, 5, 62
723, 3, 1, 0
277, 0, 4, 0
709, 1, 3, 13
339, 1, 0, 0
724, 0, 1, 23
438, 2, 1, 0
704, 1, 0, 13
417, 4, 4, 0
640, 5, 0, 0
253, 3, 4, 22
449, 3, 7, 8
197, 4, 4, 5
98, 1, 5, 33
556, 6, 2, 0
221, 5, 1, 0
169, 7, 4, 0
336, 3, 1, 10
506, 4, 4, 85
653, 1, 6, 122
117, 0, 3, 83
268, 6, 4, 14
430, 0, 1, 63
10, 1, 4, 426
466, 3, 4, 0
566, 7, 0, 0
319, 6, 5, 6
319, 3, 6, 16
412, 6, 4, 12
510, 4, 7, 0
597, 3, 1, 10
438, 1, 2, 13
327, 5, 6, 123
82, 5, 6, 89
90, 3, 5, 132
396, 7, 2, 0
5, 3, 5, 0
534, 5, 5, 15
51, 2, 2, 12
100, 6, 7, 0
391, 2, 1, 0
432, 1, 5, 164
579, 2, 0, 0
540, 6, 1, 0
439, 4, 7, 0
714, 7, 4, 0
451, 4, 4, 78
580, 4, 4, 122
657, 0, 6, 12
325, 1, 3, 226
699, 6, 5, 35
319, 6, 6, 6
484, 1, 0, 0
170, 1, 4, 0
491, 7, 2, 0
248, 2, 0, 0
149, 1, 6, 11
263, 3, 7, 80
46, 0, 0, 14
708, 1, 7, 43
319, 3, 5, 26
371, 4, 3, 17
160, 7, 0, 0
651, 3, 0, 0
93, 0, 1, 6
703, 7, 6, 22
228, 2, 1, 0
458, 1, 1, 8
247, 7, 7, 0
719, 1, 2, 134
269, 7, 2, 0
249, 5, 2, 0
270, 1, 4, 14
628, 1, 1, 0
477, 0, 0, 13
316, 0, 0, 0
269, 7, 0, 0
175, 6, 0, 0
416, 0, 2, 0
317, 1, 2, 26
438, 7, 5, 0
153, 1, 3, 132
263, 6, 3, 5
568, 3, 0, 0
208, 4, 3, 12
425, 5, 6, 39
72, 7, 2, 16
519, 0, 7, 252
674, 7, 4, 12
376, 6, 4, 7
402, 2, 2, 48
117, 0, 0, 4
446, 3, 6, 45
429, 2, 1, 7
386, 5, 7, 18
327, 4, 5, 51
164, 3, 5, 2232
436, 6, 1, 0
114, 6, 0, 0
117, 2, 0, 0
596, 0, 1, 27
411, 7, 6, 0
361, 6, 5, 7
457, 4, 2, 0
490, 2, 4, 0
367, 2, 0, 0
659, 4, 0, 0
16, 5, 4, 19
146, 5, 4, 11
494, 6, 2, 0
685, 7, 1, 0
110, 3, 4, 37
236, 1, 3, 29
533, 1, 2, 15
721, 2, 4, 259
348, 0, 7, 37
264, 6, 5, 18
69, 5, 5, 72
76, 5, 0, 0
731, 0, 3, 59
500, 6, 7, 14
563, 5, 6, 0
581, 3, 3, 34
9, 0, 0, 5
421, 6, 0, 0
343, 5, 2, 0
690, 5, 1, 0
428, 1, 7, 75
115, 7, 0, 0
670, 6, 3, 63
342, 0, 4, 10
249, 6, 1, 0
576, 1, 2, 115
176, 2, 7, 7
641, 2, 7, 49
652, 6, 3, 0
706, 5, 0, 0
339, 7, 5, 10
440, 6, 2, 0
408, 5, 0, 12
210, 4, 0, 0
310, 0, 7, 215
384, 2, 6, 1222
614, 5, 1, 0
528, 2, 0, 0
292, 4, 5, 83
430, 4, 1, 7
593, 7, 2, 0
524, 7, 3, 9
67, 7, 6, 15
544, 0, 3, 240
47, 6, 6, 18
302, 3, 1, 0
2, 4, 5, 0
264, 3, 7, 23
349, 4, 7, 125
293, 1, 3, 30
315, 4, 5, 51
143, 6, 3, 4
226, 2, 6, 0
578, 0, 0, 0
576, 5, 3, 17
208, 0, 4, 33
111, 0, 6, 40
347, 5, 1, 0
303, 1, 4, 55
590, 6, 1, 0
652, 3, 3, 122
637, 6, 2, 0
37, 7, 1, 0
420, 3, 3, 39
56, 2, 6, 34
612, 7, 1, 0
304, 6, 7, 6
60, 6, 3, 60
523, 1, 7, 61
199, 4, 0, 5
247, 3, 3, 0
13, 7, 6, 41
84, 6, 4, 26
11, 1, 6, 101
286, 2, 5, 61
65, 0, 4, 154
320, 7, 7, 0
77, 7, 1, 0
501, 0, 2, 117
168, 0, 1, 7
431, 0, 6, 262
325, 2, 1, 0
510, 3, 0, 0
67, 5, 3, 12
290, 1, 6, 6
570, 0, 6, 219
607, 0, 5, 11
463, 1, 3, 27
518, 6, 3, 0
330, 3, 3, 36
158, 6, 4, 0
657, 6, 5, 20
595, 3, 6, 342
421, 6, 1, 0
488, 0, 5, 0
596, 5, 7, 78
605, 1, 3, 121
378, 1, 6, 181
354, 1, 2, 27
503, 0, 0, 8
467, 2, 4, 8
674, 2, 4, 119
160, 2, 1, 4
13, 7, 7, 5
70, 0, 4, 94
284, 4, 4, 38
